Work Item Type,Title 1,Title 2,Title 3,Description
Feature,,F0.3 - Structure Derivation,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Turn company character into structure — derive the department set and org-chart shape from size/age/hierarchy, emitted into Epic 2&#x27;s artifacts (not a second model).</p><p><strong>Prototype estimate:</strong> a deriver that picks departments + reporting depth from the company and writes Epic 2&#x27;s department catalog + org-structure artifact.</p><p><strong>MVP estimate:</strong> industry-aware department sets; hierarchy-axis-driven chart depth/span; spare-capacity hooks for the sim&#x27;s transfer tier.</p><p><strong>Goal:</strong> A generated org structure that reflects the company, in Epic 2&#x27;s shapes.</p><p><strong>Feature scope:</strong></p><ul><li>Derive department set (count/kind) from size + industry; org-chart depth/span from the Hierarchy↔Flat axis.</li><li>Emit into **Epic 2&#x27;s** department catalog + org-structure artifact — the one org model.</li><li>Consume Epic 1&#x27;s wing grouping for the physical projection (no layout logic here).</li></ul><p><strong>Done when:</strong></p><ul><li>A generated company yields a valid Epic 2 org-structure artifact (every department resolves, every department has a head, no dangling reports), shaped by the company&#x27;s size/age/hierarchy.</li></ul><p><strong>Exit question:</strong></p><pre>Does company character produce a valid Epic 2 org structure, over the single department model?</pre>"
User Story,,,S0.3.1 - Derive The Department Set,"<p><strong>User story:</strong></p><ul><li>As the cascade, I need to derive the department set (count/kind) from company size + industry, writing into Epic 2&#x27;s department catalog, so structure reflects the company rather than being hand-listed.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>A deriver produces a department set scaled to size and shaped by industry, emitted into Epic 2&#x27;s catalog shape (the single department model).</li><li>Determinism holds for <code>(seed, archetype, dials)</code>.</li><li>Larger/older companies yield more/deeper departments than small/young ones.</li></ul><p><strong>Dependencies:</strong></p><ul><li>F0.2, Epic 2 (F2.1).</li></ul>"
User Story,,,S0.3.2 - Derive The Org-Chart Shape,"<p><strong>User story:</strong></p><ul><li>As the cascade, I need org-chart depth/span derived from the Hierarchy↔Flat axis, written into Epic 2&#x27;s org-structure artifact, so the chart matches the company&#x27;s character.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Reporting depth/span derive from the Hierarchy↔Flat axis into Epic 2&#x27;s org-structure artifact.</li><li>A flat company yields a shallow/wide chart; a hierarchical one yields a deep/narrow chart.</li><li>Output is deterministic.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.3.1, Epic 2 (F2.2, F2.3).</li></ul>"
User Story,,,S0.3.3 - Validate The Derived Structure,"<p><strong>User story:</strong></p><ul><li>As an author, I need the derived structure validated so a generated company never produces a broken org chart.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Reuses Epic 2&#x27;s validation: every department resolves, every department has a head, no report dangles.</li><li>A deliberately malformed derivation fails the check.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.3.2, Epic 2 (F2.5).</li></ul>"
Feature,,F0.4 - Department Subculture Cascade,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Each generated department is a mini-personality — it inherits the company culture but is allowed to deviate, so a toxic team can exist inside a healthy firm.</p><p><strong>Prototype estimate:</strong> per-department subculture = company culture biased + a bounded deviation sampled per seed; expose department-level bias weights.</p><p><strong>MVP estimate:</strong> department-function-aware deviation (Sales vs Engineering tilt) + named inter-department rivalries from company factionalism.</p><p><strong>Goal:</strong> Departments that read as distinct, coherent sub-cultures under one company.</p><p><strong>Feature scope:</strong></p><ul><li>Department subculture derived from company culture + a per-department deviation budget.</li><li>Expose the resolved department bias weights the persona generator (F0.5) consumes (the E2 subculture seam).</li><li>Seed named inter-department rivalries from the company social-climate aggregates.</li></ul><p><strong>Done when:</strong></p><ul><li>Two departments in the same company resolve distinct subcultures within the deviation budget; the weights are consumable downstream.</li></ul><p><strong>Exit question:</strong></p><pre>Do departments inherit-and-deviate into distinct subcultures the persona layer can read?</pre>"
User Story,,,S0.4.1 - Derive Per-Department Subculture,"<p><strong>User story:</strong></p><ul><li>As the cascade, I need each generated department to derive a subculture from company culture plus a bounded deviation, so a toxic team can exist inside a healthy firm.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Department subculture = company culture biased + a per-department deviation sampled within a budget.</li><li>Two departments in the same company resolve distinct subcultures within the deviation budget.</li><li>Output is deterministic for the cascade seed.</li></ul><p><strong>Dependencies:</strong></p><ul><li>F0.3.</li></ul>"
User Story,,,S0.4.2 - Expose Department Bias Weights,"<p><strong>User story:</strong></p><ul><li>As the persona tier (F0.5), I need the resolved per-department bias weights exposed on Epic 2&#x27;s department entity, so I can weight persona generation by department.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Resolved subculture is written to Epic 2&#x27;s department subculture fields (the E2 seam).</li><li>The weights are readable by F0.5 without recomputation.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.4.1, Epic 2 (F2.1 subculture fields).</li></ul>"
User Story,,,S0.4.3 - Seed Inter-Department Rivalries,"<p><strong>User story:</strong></p><ul><li>As a designer, I need named inter-department rivalries seeded from the company social-climate aggregates, so factionalism is concrete before the relationship graph is wired.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Rivalries are seeded from the company&#x27;s factionalism aggregate and attached to the structure.</li><li>Higher factionalism yields more/stronger rivalries; output is deterministic.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.4.1.</li></ul>"
Feature,,F0.5 - Culture-Weighted Persona Generation,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Make the people diverge by company character — feed company + department culture into Epic 3&#x27;s persona generation as weighting, reusing its archetype path (the E3 culture-weighting seam).</p><p><strong>Prototype estimate:</strong> a weighting layer over Epic 3 persona-template selection/sampling driven by F0.4 department bias + company culture.</p><p><strong>MVP estimate:</strong> tuned weighting that yields legible, statistically-distinct populations per company archetype (cutthroat-finance Sales skews high-ambition/low-integrity).</p><p><strong>Goal:</strong> Personas whose distribution visibly reflects the company they belong to.</p><p><strong>Feature scope:</strong></p><ul><li>Company + department culture bias Epic 3&#x27;s persona-template selection/weighting (&quot;bias not lock&quot;).</li><li>No new persona model — this is a weighting layer over Epic 3.</li><li>Determinism preserved through the cascade seed.</li></ul><p><strong>Done when:</strong></p><ul><li>The same department generated under two company archetypes yields measurably different persona distributions; output is reproducible.</li></ul><p><strong>Exit question:</strong></p><pre>Does company character measurably shift the generated persona distribution, reusing Epic 3?</pre>"
User Story,,,S0.5.1 - Apply Culture Weighting To Template Selection,"<p><strong>User story:</strong></p><ul><li>As the cascade, I need company + department culture to bias Epic 3&#x27;s persona-template selection/sampling, so generated people diverge by company character without a new persona model.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>A weighting layer feeds company + department culture into Epic 3&#x27;s persona-template selection (&quot;bias not lock&quot;, never a hard lock).</li><li>No new persona model is introduced — it is a weighting layer over Epic 3.</li><li>Determinism is preserved through the cascade seed.</li></ul><p><strong>Dependencies:</strong></p><ul><li>F0.4, Epic 3 (F3.2 culture-weighting hook).</li></ul>"
User Story,,,S0.5.2 - Verify Population Divergence,"<p><strong>User story:</strong></p><ul><li>As a designer, I need proof that company character actually shifts the population, so the cascade is worth the complexity.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>The same department generated under two company archetypes yields measurably different persona distributions (a metric over drives/traits/axes).</li><li>The divergence exceeds a documented threshold; output is reproducible.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.5.1.</li></ul>"
Feature,,F0.6 - History-Seeded Relationship & Climate Wiring,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Give the relationship graph a reason to exist — wire it from the company&#x27;s social climate and factionalism, and seed concrete edges from formative events (the E3 history-seeding seam).</p><p><strong>Prototype estimate:</strong> extend Epic 3&#x27;s relationship-graph generation with company factionalism bias + a formative-event → edge seeding pass.</p><p><strong>MVP estimate:</strong> typed, sim-consumable edges (using the §3.7 relationship-type catalog + third-party coupling) tuned so history is legible in the graph.</p><p><strong>Goal:</strong> A relationship graph whose shape is explained by the company&#x27;s climate and history.</p><p><strong>Feature scope:</strong></p><ul><li>Company social-climate + factionalism bias Epic 3&#x27;s intra/inter-department wiring.</li><li>Formative company events seed concrete typed edges (resentment, rivalry, alliance) into the graph.</li><li>Reuse the existing relationship-type catalog + third-party coupling; no new relationship model.</li></ul><p><strong>Done when:</strong></p><ul><li>A generated company&#x27;s graph contains edges traceable to its history; factionalism visibly shapes inter-department ties; output is reproducible.</li></ul><p><strong>Exit question:</strong></p><pre>Can you read the company&#x27;s history and climate off the generated relationship graph?</pre>"
User Story,,,S0.6.1 - Factionalism-Biased Graph Wiring,"<p><strong>User story:</strong></p><ul><li>As the cascade, I need company social-climate and factionalism to bias Epic 3&#x27;s intra/inter-department relationship wiring, so the graph&#x27;s shape reflects the company.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Climate/factionalism aggregates bias Epic 3&#x27;s relationship-graph generation (the history-seeding hook), reusing the §3.7 relationship-type catalog.</li><li>Higher factionalism visibly skews inter-department ties (more rivalry/suspicion, fewer cross-wing alliances).</li><li>Output is deterministic.</li></ul><p><strong>Dependencies:</strong></p><ul><li>F0.5, Epic 3 (F3.3 history-seeding hook).</li></ul>"
User Story,,,S0.6.2 - Seed Edges From Formative Events,"<p><strong>User story:</strong></p><ul><li>As the cascade, I need formative company events to seed concrete typed edges, so a layoff round actually creates resentment edges in the start state.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Each formative-event kind maps to concrete typed edges (resentment, rivalry, alliance) using the existing relationship-type catalog + third-party coupling.</li><li>Seeded edges attach to plausible agents (by department/role) and carry the right type/secret flags.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.6.1.</li></ul>"
User Story,,,S0.6.3 - Verify History Is Legible In The Graph,"<p><strong>User story:</strong></p><ul><li>As a designer, I need to read the company&#x27;s history and climate off the generated graph, so the seeding is doing real work.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>A test traces specific graph edges back to the company&#x27;s history events and factionalism.</li><li>A different history produces a different, still-coherent graph; output is reproducible.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.6.2.</li></ul>"
Feature,,F0.7 - History-Seeded Scenario Eligibility,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Ship the seed with hot, grounded scenarios — company history pre-loads/biases which Epic 4 scenario templates are eligible and salient (the E4 history-seeding seam).</p><p><strong>Prototype estimate:</strong> map formative-event kinds → scenario-library families/templates; bias eligibility/salience accordingly over Epic 4&#x27;s export.</p><p><strong>MVP estimate:</strong> tuned salience that makes the opening scenarios feel caused by the company&#x27;s past, with coverage checked against the generated cast.</p><p><strong>Goal:</strong> A seed whose eligible scenarios are explained by the company it came from.</p><p><strong>Feature scope:</strong></p><ul><li>Company history kinds map to scenario-library families/templates; bias Epic 4 eligibility/salience.</li><li>Consume Epic 4&#x27;s export + the scenario-library; no new scenario model.</li><li>Respect the cast/precondition coverage path (F0.10 / Epic 3/4 coverage).</li></ul><p><strong>Done when:</strong></p><ul><li>A company with a given history surfaces grounded, castable opening scenarios; a different history surfaces different ones; output is reproducible.</li></ul><p><strong>Exit question:</strong></p><pre>Are the seed&#x27;s hot scenarios traceable to the company&#x27;s history, and castable onto its cast?</pre>"
User Story,,,S0.7.1 - Map History Kinds To Scenario Families,"<p><strong>User story:</strong></p><ul><li>As the cascade, I need a mapping from formative-event kinds to scenario-library families/templates, so the company&#x27;s past points at the scenarios it should open on.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>A documented mapping links history kinds (reorg, layoff, founder exit, scandal, …) to scenario-library families/templates.</li><li>Unknown/absent kinds fall back gracefully (no hard-fail), matching the free-text discipline.</li></ul><p><strong>Dependencies:</strong></p><ul><li>F0.6, Epic 4 (F4.1).</li></ul>"
User Story,,,S0.7.2 - Bias Eligibility And Salience,"<p><strong>User story:</strong></p><ul><li>As the cascade, I need company history to bias Epic 4 scenario eligibility/salience, so the seed ships with hot, grounded opening scenarios.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>History biases eligibility/salience over Epic 4&#x27;s export (the history-seeding seam); a recent contested promotion makes that template run hot.</li><li>A different history surfaces different hot scenarios; biasing respects the cast/precondition coverage path (F0.10).</li><li>Output is deterministic.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.7.1.</li></ul>"
Feature,,F0.8 - Company Package Export,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Make the whole cascade a single new-game seed artifact — a <code>company.json</code> root with the existing payloads as its children.</p><p><strong>Prototype estimate:</strong> serialize <code>company.json</code>; reframe the export bundle as a company package; add <code>CONTRACT.md</code> §3.x + schema bump.</p><p><strong>MVP estimate:</strong> headless CLI export of a full company package; determinism + round-trip tests.</p><p><strong>Goal:</strong> One exportable company package the sim loads as a new game.</p><p><strong>Feature scope:</strong></p><ul><li>New project-level <code>company.json</code> (identity, culture, economic state, mission, history, narrative, climate aggregates).</li><li>The bundle becomes a company package: <code>company.json</code> root + existing org-structure / personas / relationships / layout / scenario(-template) children — no existing payload changes shape.</li><li>Additive contract change; schema bump; §7 compatibility; free-text-with-fallback for new vocabularies.</li><li>Headless export parity with the in-app path (the existing <code>exportAll</code> discipline).</li></ul><p><strong>Done when:</strong></p><ul><li>A generated company exports a deterministic, round-trippable company package; <code>npm run build</code>/<code>test</code> green; contract + schema updated.</li></ul><p><strong>Exit question:</strong></p><pre>Does a generated company export as a deterministic company package the contract documents?</pre>"
User Story,,,S0.8.1 - Serialize company.json And Update The Contract,"<p><strong>User story:</strong></p><ul><li>As the sim, I need a <code>company.json</code> root artifact (identity, culture, economic state, mission, history, narrative, climate aggregates), so a generated company is a loadable thing.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li><code>company.json</code> serializes the company model; a new <code>CONTRACT.md</code> §3.x documents it.</li><li><code>CURRENT_SCHEMA_VERSION</code> is bumped and §7 compatibility is documented; a migration step is added.</li><li>Round-trip serialize/deserialize is unit-tested.</li></ul><p><strong>Dependencies:</strong></p><ul><li>F0.1.</li></ul>"
User Story,,,S0.8.2 - Reframe The Bundle As A Company Package,"<p><strong>User story:</strong></p><ul><li>As the sim, I need the export bundle reframed as a company package — <code>company.json</code> at the root with the existing payloads as children — so the whole seed loads as one unit.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>The bundle places <code>company.json</code> at the root with org-structure / personas / relationships / <code>office-layout.json</code> / <code>scenario(-template).json</code> as children.</li><li>No existing payload changes shape; existing single-scenario exports still load.</li><li>The bundle layout is documented in the contract.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.8.1, F0.3, F0.5, F0.6, F0.7.</li></ul>"
User Story,,,S0.8.3 - Headless Export And Determinism Tests,"<p><strong>User story:</strong></p><ul><li>As the build pipeline, I need the company package to export headlessly and deterministically, so art-as-data holds at company scale.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>The headless CLI (<code>exportAll</code> path) emits a full company package; in-app and CLI outputs are structurally identical.</li><li>Two runs of the same <code>(seed, archetype, dials)</code> are byte-identical (JSON); <code>npm run build</code>/<code>test</code> green.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.8.2.</li></ul>"
Feature,,F0.9 - Company Authoring & Preview UI,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> A &quot;Company&quot; tab to drive and inspect the cascade — pick an archetype + seed + dials, generate, browse company → departments → people → relationships, and override any field.</p><p><strong>Prototype estimate:</strong> a tab with archetype/seed/dials controls, a generate action, and a read-only company/cascade inspector (the company alone in Pass 1; the full cascade in Pass 2).</p><p><strong>MVP estimate:</strong> per-field overrides, regenerate-subtree, and a preview that surfaces the climate/history and the resulting structure.</p><p><strong>Goal:</strong> Author and inspect a whole company without leaving the studio.</p><p><strong>Feature scope:</strong></p><ul><li>Archetype + seed + dials controls; generate the company (Pass 1) then the full cascade (Pass 2).</li><li>Inspect the cascade (company → departments → people → relationships); override any field with authored-wins semantics.</li><li>Additive — does not regress the existing Characters/Persona/Scene/Employees/Scenario tabs.</li></ul><p><strong>Done when:</strong></p><ul><li>The tab generates, inspects, and overrides a company end-to-end and feeds F0.8 export; existing tabs unaffected.</li></ul><p><strong>Exit question:</strong></p><pre>Can a designer author, inspect, and override a whole company in the tool, then export it?</pre>"
User Story,,,S0.9.1 - Company Tab With Generate Controls,"<p><strong>User story:</strong></p><ul><li>As a designer, I need a &quot;Company&quot; tab with archetype/seed/dials controls and a generate action, so I can produce a company from the studio (Pass 1: the company entity alone).</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>A new &quot;Company&quot; tab exposes archetype picker, seed field, and dials, plus a generate button.</li><li>Generating shows the resulting company (identity, culture, economic state, mission, history, narrative, climate).</li><li>Additive — the Characters/Persona/Scene/Employees/Scenario tabs are unaffected.</li></ul><p><strong>Dependencies:</strong></p><ul><li>F0.1, F0.2.</li></ul>"
User Story,,,S0.9.2 - Cascade Inspector,"<p><strong>User story:</strong></p><ul><li>As a designer, I need to browse the full cascade — company → departments → people → relationships — so I can see what a seed produced (Pass 2).</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>The tab inspects the generated cascade tiers (structure, departments, personas, relationship graph).</li><li>The view surfaces the climate/history and the resulting structure legibly.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.9.1, F0.3, F0.5, F0.6.</li></ul>"
User Story,,,S0.9.3 - Per-Field Overrides,"<p><strong>User story:</strong></p><ul><li>As a designer, I need to override any generated field with authored-wins semantics, so generation is a starting point, not a straitjacket.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Any field is overridable; overrides survive regeneration of unrelated subtrees and win over derived values.</li><li>Overrides flow into the F0.8 export; existing tabs remain unaffected.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.9.2.</li></ul>"
Feature,,F0.10 - Seed Coverage & Drama Validation,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Guarantee a generated seed is actually playable and dramatic — structurally sound, scenario-satisfiable, and visibly diverged by its company character.</p><p><strong>Prototype estimate:</strong> validators for structure soundness (extends Epic 2/3 checks), scenario-precondition coverage (extends <code>analyzeTemplateCoverage</code>), and history-edge resolution.</p><p><strong>MVP estimate:</strong> a &quot;drama&quot; check that confirms the company character produced measurable divergence and enough hot, castable scenarios to open on.</p><p><strong>Goal:</strong> A go/no-go signal that a generated company is worth playing.</p><p><strong>Feature scope:</strong></p><ul><li>Structure soundness (every department resolves/has a head, no dangling reports), reusing Epic 2/3 validation.</li><li>Scenario-precondition coverage over the generated cast, extending the Epic 3/4 coverage path.</li><li>History-edge resolution + a divergence check (the culture actually shifted the population/graph).</li></ul><p><strong>Done when:</strong></p><ul><li>The validator flags an unplayable or undramatic seed (too-flat population, uncastable library, dangling structure) and passes a good one; surfaced in the UI.</li></ul><p><strong>Exit question:</strong></p><pre>Does the studio tell you, before export, whether a generated company is playable and dramatic?</pre>"
